Substrate	n5_s	n5_e	IRd_s	IRd_e	n4_s	n4_e	IHFd_s	IHFd_e	n3_s	n3_e	IRp_s	IRp_e	n2_s	n2_e	IHFp_s	IHFp_e	n1_s	n1_e	R1_s	R1_e	S1_s	S1_e	R2_s	R2_e	S2_s	S2_e
WT	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	151	152	179	180	211	212	239	240	256
minus5bpi	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	146	147	174	175	206	207	234	235	251
plus5bpi	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	156	157	184	185	216	217	244	245	261
plus10bpi	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	161	162	189	190	221	222	249	250	266
plus10b-Api	1	20	21	31	32	41	42	68	69	78	79	89	90	118	119	145	146	171	172	199	200	231	232	259	260	276
IRp	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	151	152	179	180	211	212	239	240	256
IRd	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	151	152	179	180	211	212	239	240	256
Del-IHFd	1	20	21	31	32	41	42	44	45	54	55	65	66	84	85	111	112	127	128	155	156	187	188	215	216	232
WT	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	151	152	179	180	211	212	239	240	256
WT	1	20	21	31	32	41	42	68	69	78	79	89	90	108	109	135	136	151	152	179	180	211	212	239	240	256
